=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Year: 2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986"
"Species Name: PACIFIC SLEEPER SHARK"
=========================================================================
"Year","T Table","Haul Join","Port Join","Cruise","Permit","Length Seq","Haul Offload Date","Haul Offload","Fishing Depth (Fathoms)","Bottom Depth (Fathoms)","IFQ Flag","Gear","Gear Description","Performance","Performance Description","FMP Area","FMP Subarea","NMFS Area","Species Code","Species Name","Sex","Length (cm)","Frequency","Eggs","Viability","Injury","Sample System","Vessel","Vessel Length (ft)","LatDD Start","LonDD Start","LatDD End","LonDD End","Received from NORPAC","Loaded to Repository"
2008,ATL_HAUL,'12107003442000002608',,12107,3442,10133,20-JUL-08,300,64,74,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,197,1,,,,3,A136,256,60.045,-177.72667,59.84667,-177.74167,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000286',,11671,4055,1861,11-FEB-08,67,225,250,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,85,1,,,,2,A262,285,56,-168.61667,56.06667,-168.48333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000658',,11671,4055,4077,14-MAR-08,143,280,330,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,83,1,,,,2,A262,285,56.06667,-168.68333,56.16667,-169.1,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000428',,11671,4055,2637,19-FEB-08,87,250,290,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,133,1,,,,2,A262,285,56.16667,-169.06667,56.21667,-169.38333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000642',,11671,4055,3849,11-MAR-08,135,250,285,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,91,1,,,,2,A262,285,55.93333,-168.71667,56.08333,-168.73333,19-JUL-22,20-JUL-22
2009,ATL_HAUL_SAMPLE,'12967004063000000938',,12967,4063,5737,10-JUL-09,284,63,71,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,U,106,1,,,,2,A282,341,59.035,-175.41833,59.02833,-175.505,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000921',12870,4078,2523,20-AUG-09,88,,,,2,PELAGIC,,,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,88,1,,,,2,A060,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12074003388000000684',,12074,3388,3850,26-JUL-08,117,62,64,N,2,PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,146,1,,,,2,A055,155,56.51167,-168.17,56.325,-167.87833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11662003245000000174',,11662,3245,1285,05-FEB-08,44,250,270,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,70,1,,,,2,A045,270,54.48333,-165.98333,54.48333,-165.98333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11832000410000114391',,11832,410,137005,25-MAR-08,57,110,128,N,2,PELAGIC,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,242,1,,,,2,A567,77,57.51667,-155.01167,57.45,-155,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000652',,11671,4055,4018,13-MAR-08,140,275,305,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,82,1,,,,2,A262,285,56.1,-168.66667,56.05,-168.61667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000694',,11671,4055,4301,17-MAR-08,153,240,270,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,80,1,,,,2,A262,285,55.95,-168.95,55.95,-168.71667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12086000422000000622',,12086,422,1479,14-JUL-08,70,58,58,N,2,PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,F,200,1,,,,3,A169,127,55.28222,-164.9575,55.32583,-164.70889,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12086000422000001342',,12086,422,3017,13-SEP-08,131,55,55,N,2,PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,F,145,1,,,,3,A169,127,55.66444,-164.87194,55.55722,-164.86667,19-JUL-22,20-JUL-22
2009,ATL_HAUL_SAMPLE,'13039002090000000472',,13039,2090,1174,23-AUG-09,112,,69,N,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,U,139,1,,,,2,A691,152,59.09,-174.94028,59.08972,-174.5575,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12264003703000003046',,12264,3703,23075,02-OCT-08,1107,63,73,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,89,1,,,,2,A090,635,59.20667,-175.30833,59.29333,-175.175,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11988006172000118662',,11988,6172,162980,26-JUN-08,265,,448,Y,6,POT OR TRAP,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,118,1,,,,2,A650,78,54.15,-166.63333,54.11667,-166.58333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11631003010000000102',,11631,3010,282,30-JAN-08,10,70,80,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,105,1,,,,2,A063,155,54.84222,-165.51639,54.78361,-165.26944,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000436',,11671,4055,2737,21-FEB-08,91,250,290,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,86,1,,,,2,A262,285,56.01667,-168.63333,56,-168.66667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000001906',,12051,3896,11137,28-JUL-08,330,105,114,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,96,1,,,,3,A080,336,60.62333,-178.475,60.54,-178.67,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000002050',,12051,3896,12112,19-AUG-08,378,65,72,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,123,1,,,,2,A080,336,58.715,-173.94833,58.71667,-173.89833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12051003896000002156',,12051,3896,12816,01-SEP-08,416,120,161,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,130,1,,,,3,A080,336,59.275,-177.68333,59.2,-177.82,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11786003703000000204',,11786,3703,1886,02-FEB-08,92,57,67,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,120,1,,,,2,A090,635,56.2,-167,56.21667,-167.1,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12217000411000119712',,12217,411,176784,03-SEP-08,36,200,215,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,121,1,,,,2,A082,124,54.60333,-166.28139,54.605,-166.06333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12217000411000119716',,12217,411,176788,05-SEP-08,40,52,63,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,134,1,,,,2,A082,124,55.07833,-165.22333,55.065,-165.22833,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11678003396000000534',,11678,3396,3505,06-MAR-08,132,290,325,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,78,1,,,,2,A069,275,56.14167,-168.97333,56.09667,-168.69833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12046004055000001446',,12046,4055,9099,04-JUL-08,223,155,170,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,41,1,,,,2,A262,285,59.46667,-177.66667,59.48333,-177.58333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000548',,11671,4055,3370,03-MAR-08,118,290,320,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,94,1,,,,2,A262,285,56.01667,-168.66667,55.95,-168.73333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11578003673000000628',,11578,3673,2874,28-FEB-08,128,,61,N,8,LONGLINER,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,137,1,,,,2,A107,135,55.87667,-158.29333,55.73667,-158.175,19-JUL-22,20-JUL-22
2009,ATL_HAUL_SAMPLE,'12649003794000001842',,12649,3794,257483,20-MAR-09,207,48,58,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,U,249,1,,,,2,A115,376,56.86667,-171.16667,56.76667,-171.41667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11631003010000000102',,11631,3010,281,30-JAN-08,10,70,80,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,120,1,,,,2,A063,155,54.84222,-165.51639,54.78361,-165.26944,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12148003261000002630',,12148,3261,9269,16-JUL-08,408,49,62,N,2,PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,150,1,,,,2,A041,341,58.795,-173.35667,58.84167,-173.255,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11832000410000114391',,11832,410,137001,25-MAR-08,57,110,128,N,2,PELAGIC,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,M,189,1,,,,2,A567,77,57.51667,-155.01167,57.45,-155,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000414',,11671,4055,2465,18-FEB-08,83,265,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,102,1,,,,2,A262,285,56.13333,-169.03333,56.13333,-168.91667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000430',,11671,4055,2666,19-FEB-08,88,250,290,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,84,1,,,,2,A262,285,56.08333,-168.55,56.08333,-168.56667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12086000422000001382',,12086,422,3075,16-SEP-08,134,77,77,N,2,PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,140,1,,,,3,A169,127,55.91222,-168.01806,56.33528,-168.04111,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12353002142000120667',,12353,2142,192357,12-OCT-08,3,88,95,N,2,PELAGIC,5,OTHER PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,250,1,,,,3,A158,97,57.84528,-155.02194,57.88417,-154.92139,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12051003896000001706',,12051,3896,181640,04-JUL-08,255,165,176,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,115,1,,,,3,A080,336,59.36167,-177.64333,59.45,-177.61667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000001814',,12051,3896,10435,18-JUL-08,292,132,140,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,130,1,,,,3,A080,336,59.43833,-177.62167,59.42167,-177.61333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11794003870000000310',,11794,3870,2220,05-MAR-08,105,49,61,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,126,1,,,,1,A225,304,56.23333,-166.8,56.18333,-166.65,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000264',,11671,4055,1720,09-FEB-08,63,200,240,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,145,1,,,,2,A262,285,55.93333,-168.85,56,-168.63333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000658',,11671,4055,4078,14-MAR-08,143,280,330,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,113,1,,,,2,A262,285,56.06667,-168.68333,56.16667,-169.1,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000664',,11671,4055,4150,15-MAR-08,146,250,280,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,82,1,,,,2,A262,285,56.18333,-169.55,56.18333,-169.43333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000430',,11671,4055,2668,19-FEB-08,88,250,290,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,82,1,,,,2,A262,285,56.08333,-168.55,56.08333,-168.56667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11678003396000000534',,11678,3396,3504,06-MAR-08,132,290,325,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,88,1,,,,2,A069,275,56.14167,-168.97333,56.09667,-168.69833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000642',,11671,4055,3878,11-MAR-08,135,250,285,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,90,1,,,,2,A262,285,55.93333,-168.71667,56.08333,-168.73333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000646',,11671,4055,3931,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,90,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000544',,11671,4055,3311,02-MAR-08,116,240,270,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,102,1,,,,2,A262,285,56.01667,-168.58333,56.03333,-168.7,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12878005310000000865',12878,5310,1146,20-JUL-09,77,,,,2,PELAGIC,,,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,141,1,,,,3,A087,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12937005320000000461',12937,5320,161,18-JUN-09,3,,,,2,PELAGIC,,,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,168,1,,,,5,A285,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11988006172000118653',,11988,6172,162928,25-JUN-08,263,,373,Y,6,POT OR TRAP,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,M,93,1,,,,2,A650,78,54.18333,-166.35,54.2,-166.3,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11631003010000000042',,11631,3010,208,27-JAN-08,5,58,70,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,145,1,,,,2,A063,155,54.88056,-165.71722,55.04056,-165.71444,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12048005822000001804',,12048,5822,8405,19-JUL-08,436,165,165,N,1,NON PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,157,1,,,,2,A639,120,54.45,-165.71667,54.55,-165.6,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12130001610000000482',,12130,1610,1446,18-JUL-08,405,261,261,N,1,NON PELAGIC,9,FISHING DURATION AFFECTED,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,83,1,,,,2,A034,140,54.31667,-165.96667,54.51667,-165.96667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12048005822000001818',,12048,5822,8248,20-JUL-08,443,215,215,N,1,NON PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,113,1,,,,2,A639,120,54.55,-165.68333,54.4,-165.83333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000286',,11671,4055,1860,11-FEB-08,67,225,250,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,105,1,,,,2,A262,285,56,-168.61667,56.06667,-168.48333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000604',,11671,4055,3669,06-MAR-08,127,290,320,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,90,1,,,,2,A262,285,56.03333,-168.68333,56,-168.7,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000401',12870,4078,1527,17-JUN-09,11,,,,2,PELAGIC,,,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,139,1,,,,5,A188,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000921',12870,4078,2524,20-AUG-09,88,,,,2,PELAGIC,,,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,101,1,,,,2,A060,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12051003896000001706',,12051,3896,181639,04-JUL-08,255,165,176,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,81,1,,,,3,A080,336,59.36167,-177.64333,59.45,-177.61667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000664',,11671,4055,4147,15-MAR-08,146,250,280,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,85,1,,,,2,A262,285,56.18333,-169.55,56.18333,-169.43333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12222001607000001904',,12222,1607,5897,22-OCT-08,588,43,54,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,212,1,,,,3,A255,305,60.21667,-174.5,60.15,-174.38333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12166003261000002926',,12166,3261,10604,12-AUG-08,490,113,126,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,195,1,,,,2,A041,341,59.66667,-177.49833,59.67667,-177.56833,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12315002833000000484',,12315,2833,2190,29-SEP-08,335,,86,N,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,141,1,,,,2,A222,174,58.74333,-177.20833,58.67333,-177.36333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12365002872000000632',,12365,2872,4068,17-OCT-08,521,,108,N,8,LONGLINER,1,NO PROBLEM,BSAI,BS,523,62,PACIFIC SLEEPER SHARK,F,111,1,,,,3,A067,124,56.985,-173.29472,57.04194,-173.48722,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12051003896000002024',,12051,3896,11887,16-AUG-08,367,57,64,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,110,1,,,,2,A080,336,58.73333,-173.38833,58.70833,-173.345,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000664',,11671,4055,4151,15-MAR-08,146,250,280,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,67,1,,,,2,A262,285,56.18333,-169.55,56.18333,-169.43333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11678003396000000534',,11678,3396,3503,06-MAR-08,132,290,325,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,104,1,,,,2,A069,275,56.14167,-168.97333,56.09667,-168.69833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000606',,11671,4055,3695,06-MAR-08,128,255,340,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,103,1,,,,2,A262,285,56.08333,-168.65,56.13333,-168.96667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11988006172000118572',,11988,6172,170332,19-JUN-08,230,,308,Y,6,POT OR TRAP,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,72,1,,,,2,A650,78,54.41667,-166.91667,54.4,-166.86667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12051003896000001764',,12051,3896,10064,09-JUL-08,275,74,82,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,M,173,1,,,,3,A080,336,60.27167,-178.00333,60.55167,-177.93667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12401002924000001822',,12401,2924,8914,13-NOV-08,771,230,230,N,1,NON PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,100,1,,,,2,A563,107,54.13333,-166.36667,54.23333,-166.13333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11993002889000000762',,11993,2889,1919,21-AUG-08,93,59,69,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,149,1,,,,2,A044,193,59.31667,-174.91667,59.73333,-175.26667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000422',,11671,4055,2501,18-FEB-08,84,270,300,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,116,1,,,,2,A262,285,56.15,-169.06667,56.2,-169.38333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000424',,11671,4055,2534,18-FEB-08,85,240,280,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,87,1,,,,2,A262,285,56.2,-169.33333,56.18333,-169.55,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12353002142000120667',,12353,2142,192356,12-OCT-08,3,88,95,N,2,PELAGIC,5,OTHER PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,173,1,,,,3,A158,97,57.84528,-155.02194,57.88417,-154.92139,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11578003673000000706',,11578,3673,3136,04-MAR-08,141,,71,N,8,LONGLINER,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,M,209,1,,,,2,A107,135,55.72,-158.1,55.58,-158.01833,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000426',12870,4078,1661,21-JUN-09,18,,,,2,PELAGIC,,,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,199,1,,,,5,A148,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12878005310000000823',12878,5310,1063,12-JUL-09,63,,,,2,PELAGIC,,,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,135,1,,,,5,A138,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12878005310000000921',12878,5310,1223,25-JUL-09,86,,,,2,PELAGIC,,,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,108,1,,,,3,A358,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12937005320000001103',12937,5320,894,29-AUG-09,82,,,,2,PELAGIC,,,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,140,1,,,,5,A061,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11631003010000000102',,11631,3010,284,30-JAN-08,10,70,80,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,135,1,,,,2,A063,155,54.84222,-165.51639,54.78361,-165.26944,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11662003245000000286',,11662,3245,2160,16-FEB-08,81,245,275,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,99,1,,,,2,A045,270,54.46667,-165.91667,54.48333,-165.96667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12051003896000001914',,12051,3896,11200,29-JUL-08,334,119,132,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,116,1,,,,2,A080,336,59.66167,-177.455,59.66667,-177.59833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000664',,11671,4055,4175,15-MAR-08,146,250,280,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,78,1,,,,2,A262,285,56.18333,-169.55,56.18333,-169.43333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000700',,11671,4055,4416,18-MAR-08,156,260,300,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,105,1,,,,2,A262,285,56,-168.66667,56.01667,-168.7,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12299003996000119932',,12299,3996,180522,03-SEP-08,146,57,67,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,151,1,,,,3,A315,106,54.96667,-165.51667,55.05,-165.4,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12046004055000001446',,12046,4055,9100,04-JUL-08,223,155,170,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,82,1,,,,2,A262,285,59.46667,-177.66667,59.48333,-177.58333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12086000422000001186',,12086,422,2697,01-SEP-08,121,79,79,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,110,1,,,,3,A169,127,56.09694,-168.10278,56.19361,-168.07389,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11578003673000000746',,11578,3673,3297,06-MAR-08,148,,69,N,8,LONGLINER,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,118,1,,,,2,A107,135,55.46833,-157.985,55.63167,-157.985,19-JUL-22,20-JUL-22
