=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Year: 2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986"
"Species Name: PACIFIC SLEEPER SHARK"
=========================================================================
"Year","T Table","Haul Join","Port Join","Cruise","Permit","Length Seq","Haul Offload Date","Haul Offload","Fishing Depth (Fathoms)","Bottom Depth (Fathoms)","IFQ Flag","Gear","Gear Description","Performance","Performance Description","FMP Area","FMP Subarea","NMFS Area","Species Code","Species Name","Sex","Length (cm)","Frequency","Eggs","Viability","Injury","Sample System","Vessel","Vessel Length (ft)","LatDD Start","LonDD Start","LatDD End","LonDD End","Received from NORPAC","Loaded to Repository"
2008,ATL_HAUL,'12051003896000002060',,12051,3896,12163,20-AUG-08,383,58,70,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,156,1,,,,2,A080,336,58.56333,-173.92333,58.48,-173.98167,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000652',,11671,4055,4020,13-MAR-08,140,275,305,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,100,1,,,,2,A262,285,56.1,-168.66667,56.05,-168.61667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000664',,11671,4055,4148,15-MAR-08,146,250,280,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,64,1,,,,2,A262,285,56.18333,-169.55,56.18333,-169.43333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000682',,11671,4055,4181,15-MAR-08,147,220,260,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,73,1,,,,2,A262,285,56.03333,-168.55,56.03333,-168.53333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12217000411000119712',,12217,411,176783,03-SEP-08,36,200,215,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,110,1,,,,2,A082,124,54.60333,-166.28139,54.605,-166.06333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000426',,11671,4055,2568,19-FEB-08,86,240,260,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,104,1,,,,2,A262,285,56.15,-169.6,56.23333,-169.5,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000606',,11671,4055,3672,06-MAR-08,128,255,340,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,81,1,,,,2,A262,285,56.08333,-168.65,56.13333,-168.96667,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000921',12870,4078,2522,20-AUG-09,88,,,,2,PELAGIC,,,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,86,1,,,,5,A060,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12264003703000002768',,12264,3703,21666,16-SEP-08,979,51,61,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,213,1,,,,2,A090,635,60.93333,-176.1,60.98333,-176.2,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12365002872000000668',,12365,2872,4329,22-OCT-08,539,,64,N,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,204,1,,,,3,A067,124,59.17111,-173.9175,59.17222,-174.1325,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11662003245000000188',,11662,3245,1423,08-FEB-08,50,246,270,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,75,1,,,,2,A045,270,55.63333,-168.83333,55.8,-168.83333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12048005822000001794',,12048,5822,8108,18-JUL-08,431,250,250,N,1,NON PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,83,1,,,,2,A639,120,54.33333,-165.98333,54.5,-165.98333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000002008',,12051,3896,11811,11-AUG-08,363,67,76,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,168,1,,,,3,A080,336,58.855,-174.605,58.75,-174.305,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000646',,11671,4055,3923,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,90,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000646',,11671,4055,3926,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,70,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2009,ATL_HAUL_SAMPLE,'12689003245000000388',,12689,3245,268027,07-MAR-09,94,53,67,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,U,94,1,,,,2,A045,270,56.48333,-170.75,56.48333,-170.9,19-JUL-22,20-JUL-22
2016,ATL_HAUL_SAMPLE,'21042003245000002754',,21042,3245,20672,08-JUN-16,1084,170,270,N,2,PELAGIC,1,NO PROBLEM,WOC,WOC,670,62,PACIFIC SLEEPER SHARK,F,140,1,,,,10,A045,270,47.75833,-125.17,47.57833,-125.12167,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11672001607000000282',,11672,1607,2359,12-FEB-08,127,57,68,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,172,1,,,,2,A255,305,56.45,-168.4,56.38333,-168.53333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12401002924000001772',,12401,2924,8415,07-NOV-08,746,360,360,N,1,NON PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,118,1,,,,2,A563,107,54.43333,-165.76667,54.33028,-166.10528,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12264003703000002722',,12264,3703,21668,15-SEP-08,962,90,100,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,160,1,,,,2,A090,635,60.34167,-178.35833,60.43167,-178.35667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12062003396000001284',,12062,3396,6721,18-AUG-08,328,63,76,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,131,1,,,,2,A069,275,58.70667,-174.14,58.89167,-174.38333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12228003339000000136',,12228,3339,519,31-AUG-08,179,,76,N,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,119,1,,,,3,A104,174,59.14389,-176.92389,58.96,-176.90333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11696003261000000764',,11696,3261,1559,09-FEB-08,55,260,379,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,89,1,,,,2,A041,341,55.95,-168.83667,55.96333,-168.84167,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000664',,11671,4055,4149,15-MAR-08,146,250,280,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,103,1,,,,2,A262,285,56.18333,-169.55,56.18333,-169.43333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12046004055000001388',,12046,4055,9098,29-JUN-08,201,75,83,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,122,1,,,,2,A262,285,59.68333,-176.96667,59.6,-176.78333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11678003396000000534',,11678,3396,3487,06-MAR-08,132,290,325,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,98,1,,,,2,A069,275,56.14167,-168.97333,56.09667,-168.69833,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000646',,11671,4055,3929,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,83,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2009,ATL_HAUL_SAMPLE,'13154002924000001442',,13154,2924,7057,23-OCT-09,612,78,78,N,1,NON PELAGIC,1,NO PROBLEM,GOA,CG,630,62,PACIFIC SLEEPER SHARK,U,334,1,,,,2,A563,107,56.6,-153.25,56.68333,-153.08333,19-JUL-22,20-JUL-22
2016,ATL_HAUL_SAMPLE,'21042003245000002768',,21042,3245,20832,10-JUN-16,1091,150,230,N,2,PELAGIC,1,NO PROBLEM,WOC,WOC,670,62,PACIFIC SLEEPER SHARK,F,102,1,,,,10,A045,270,47.54,-125.06,47.58667,-125.09333,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000664',12870,4078,1982,13-JUL-09,52,,,,2,PELAGIC,,,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,125,1,,,,2,A020,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000664',12870,4078,1981,13-JUL-09,52,,,,2,PELAGIC,,,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,M,121,1,,,,2,A020,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12878005310000000766',12878,5310,1002,02-JUL-09,42,,,,2,PELAGIC,,,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,M,107,1,,,,5,A022,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11672001607000000228',,11672,1607,1912,08-FEB-08,102,55,65,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,99,1,,,,2,A255,305,56.7,-171.38333,56.66667,-171.61667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12228003339000000116',,12228,3339,446,27-AUG-08,169,,75,N,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,104,1,,,,3,A104,174,59.13278,-176.55139,59.03806,-176.54278,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12062003396000000938',,12062,3396,5297,19-JUL-08,256,65,77,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,127,1,,,,2,A069,275,59.975,-178.09167,59.975,-178.31833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000282',,11671,4055,1793,10-FEB-08,65,220,260,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,118,1,,,,2,A262,285,56.01667,-168.53333,56.01667,-168.6,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000284',,11671,4055,1831,10-FEB-08,66,230,280,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,93,1,,,,2,A262,285,56.03333,-168.56667,56,-168.63333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12107003442000002882',,12107,3442,12007,17-AUG-08,375,71,80,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,158,1,,,,3,A136,256,58.745,-174.52667,58.78833,-174.33333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000428',,11671,4055,2634,19-FEB-08,87,250,290,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,95,1,,,,2,A262,285,56.16667,-169.06667,56.21667,-169.38333,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000345',12870,4078,1418,14-JUN-09,5,,,,2,PELAGIC,,,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,104,1,,,,5,A292,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000361',12870,4078,1441,15-JUN-09,7,,,,2,PELAGIC,,,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,118,1,,,,5,A150,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12107003442000002684',,12107,3442,10552,29-JUL-08,320,44,52,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,192,1,,,,3,A136,256,58.55667,-172.11667,58.705,-172.00833,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11631003010000000102',,11631,3010,283,30-JAN-08,10,70,80,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,140,2,,,,2,A063,155,54.84222,-165.51639,54.78361,-165.26944,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000002090',,12051,3896,12306,23-AUG-08,392,64,73,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,146,1,,,,2,A080,336,59.39167,-175.925,59.455,-175.77333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000002100',,12051,3896,12408,25-AUG-08,397,60,73,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,145,1,,,,2,A080,336,59.26833,-176.25667,59.29167,-176.39833,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000282',,11671,4055,1796,10-FEB-08,65,220,260,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,104,1,,,,2,A262,285,56.01667,-168.53333,56.01667,-168.6,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000404',,11671,4055,2318,16-FEB-08,78,240,275,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,118,1,,,,2,A262,285,54.38333,-165.96667,54.48333,-165.91667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000646',,11671,4055,3922,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,66,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12086000422000000666',,12086,422,1561,18-JUL-08,74,55,55,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,F,145,1,,,,3,A169,127,55.14,-164.43083,55.11167,-164.85,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12051003896000001718',,12051,3896,181642,05-JUL-08,261,77,86,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,112,1,,,,3,A080,336,59.22167,-177.33833,59.27167,-177.305,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12109005325000000128',,12109,5325,718,14-JUL-08,196,,295,N,8,LONGLINER,5,OTHER PROBLEM,BSAI,BS,523,62,PACIFIC SLEEPER SHARK,F,107,1,,,,2,A659,154,58.74667,-177.525,58.63667,-177.38167,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000001914',,12051,3896,11204,29-JUL-08,334,119,132,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,126,1,,,,3,A080,336,59.66167,-177.455,59.66667,-177.59833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000648',,11671,4055,4021,12-MAR-08,138,280,305,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,71,1,,,,2,A262,285,56.11667,-168.91667,56.11667,-168.66667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000652',,11671,4055,4014,13-MAR-08,140,275,305,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,72,1,,,,2,A262,285,56.1,-168.66667,56.05,-168.61667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12299003996000119939',,12299,3996,180523,09-SEP-08,153,53,63,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,195,1,,,,3,A315,106,55.05,-165.3,55.01667,-165.18333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000606',,11671,4055,3671,06-MAR-08,128,255,340,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,84,1,,,,2,A262,285,56.08333,-168.65,56.13333,-168.96667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000642',,11671,4055,3850,11-MAR-08,135,250,285,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,116,1,,,,2,A262,285,55.93333,-168.71667,56.08333,-168.73333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12429003336000001050',,12429,3336,4958,26-NOV-08,525,,79,N,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,110,1,,,,2,A237,155,59.14833,-177.06167,59.08333,-177.30167,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12870004078000000346',12870,4078,1442,14-JUN-09,6,,,,2,PELAGIC,,,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,118,1,,,,5,A094,,,,,,19-JUL-22,20-JUL-22
